,Topic,Count,Name,Representation,Representative_Docs
0,-1,332,-1_this_of_the_and,"['this', 'of', 'the', 'and', 'people', 'to', 'it', 'are', 'is', 'be']","['There will be no sense of security. We cannot sleep peacefully because the cryptocurrency’s value keeps on fluctuating. Standard currencies fluctuate too, but not as high as cryptocurrencies. If the value of standard currency falls, we can still afford to live in our country, because the fall of currency value impacts all fields. For example, if the prices of groceries rise, so do our salaries. But if the value of cryptocurrencies like bitcoin falls, we will lose our hard-earned money.', ""That's a terrible idea. The government propaganda machine is already going at full steam. Do you have any idea what the psychological impact of these kinds of messages is when you blast them at people all day every day for over a year?  Depression, suicides, and domestic violence are all the consequences of living in a hopeless and high-stress environment for a protracted period of time and are at record levels throughout Europe. In this entire covid crisis the so-called 'health experts' have consequently ignored the fact that your mental state has a direct influence on your health. i.e.: If you're stressed out, you're more likely to get sick. Instead, they have willfully created panic. Just like your ad would."", 'Though right to protest is a fundamental right, people do not have right to take away the fundamental rights of others such as going to their work, doing their personal works etc. Not everyone is against to the changes by government. Some people may support it and may not support the ban. Forcing them to stay at home is undemocratic.']"
1,0,462,0_eu_european_europe_the,"['eu', 'european', 'europe', 'the', 'migration', 'and', 'in', 'must', 'of', 'migrants']","[""Do you have some reservations about the EU? Go and protest your own government's decisions because it's the member states that decide what the EU can do and what it can't, unfortunately. The EU does not have an actual army - not because of bureaucrats but because our member states think they are better alone than united. "", 'What does legal migration look like? People can not ask for asylum at an Embassy or Consulate. So people actually have to come to the EU and enter the EU if they want to ask for asylum in the EU. This has caused inhumane and dangerous circumstances as we see in the Mediterranean Sea.', 'We should halt all immigration from non-European or non-first-world countries into the EU. However, if we want to stop this immigration, we must stop its causes. Indeed, it is war, poverty, and European, Chinese and American neo-colonialism that make the people of African and Middle Eastern countries flee to Europe. So Europe must finally take responsibility and protect these countries from corruption, war, and neo-colonialism and help them to start their economy.']"
2,1,131,1_cars_autonomous_accidents_driving,"['cars', 'autonomous', 'accidents', 'driving', 'development', 'road', 'will', 'roads', 'vehicles', 'hydrogen']","['autonomous cars are a thing of the future', 'autonomous cars could increase accidents', 'we should stop the development of autonomous cars because autonomous cars are bad idea, very dangerous']"
3,2,119,2_retirement_mandatory_age_retire,"['retirement', 'mandatory', 'age', 'retire', 'older', 'job', 'end', 'jobs', 'younger', 'workers']","[""mandatory retirement is age discrimination and shouldn't be allowed to happen."", 'mandatory retirement allow new workers a chance', 'we should end mandatory retirement because some people need to work longer to be able to support themselves and/or their families']"
4,3,117,3_nuclear_weapons_abolition_war,"['nuclear', 'weapons', 'abolition', 'war', 'power', 'energy', 'destruction', 'peace', 'world', 'fight']","['nuclear weapons are expensive to maintain', ""we shouldn't fight to get rid of nuclear weapons. they provide a deterrent to serious conflict because even the smaller countries who have nuclear weapons pose a threat"", 'nuclear weapons should not be abolished because they provide a safety net.   rogue nations have fear of the power of nuclear weapons.']"
5,4,114,4_sex_selection_women_gender,"['sex', 'selection', 'women', 'gender', 'parents', 'child', 'family', 'men', 'legalize', 'rape']","['sex selection should be allowed to those who want a certain gender.', 'we should legalize sex selection because the parents are free to decide what gender they want', 'sex selection should be legal for parents to select the sex of the child.  parents with all boys or all girls should have the choice of selecting the other sex.']"
6,5,112,5_punishment_capital_death_penalty,"['punishment', 'capital', 'death', 'penalty', 'crime', 'crimes', 'innocent', 'prison', 'life', 'is']","['capital punishment can put innocent lives at risk', 'capital punishment is barbaric and should be abolished', 'capital punishment is the only acceptable punishment for some heinous crimes because they are so evil, life in prison is not enough.']"
7,6,110,6_loans_student_education_students,"['loans', 'student', 'education', 'students', 'college', 'go', 'degree', 'subsidized', 'pay', 'loan']","['higher education should be a right; subsidized student loans provides all who want to learn with access to an education', 'student loans are a good deal for students, student loans allow for some students go to school that may have not been able to go to school before', 'we should not subsidize student loans because people need to work hard to get their education']"
8,7,110,7_uniforms_school_uniform_students,"['uniforms', 'school', 'uniform', 'students', 'clothing', 'clothes', 'wear', 'bullying', 'express', 'buy']","['School uniforms limit the ability for students to express themselves.', 'school uniforms make is so that everyone is equal', 'school uniforms keep all kids equal while at school learning and that is a great thing so school uniforms should remain.']"
9,8,108,8_cannabis_drug_marijuana_drugs,"['cannabis', 'drug', 'marijuana', 'drugs', 'alcohol', 'use', 'legalized', 'legal', 'legalizing', 'illegal']","['cannabis use leads to the use of other drugs.', ""we should legalize cannabis because a natural plant should not be regulated. cannabis is shown to naturally help with certain medical conditions and it's much safer than alcohol for recreational use."", 'we should not legalize cannabis because it can be a ""gateway"" drug.']"
10,9,106,9_actors_child_children_movies,"['actors', 'child', 'children', 'movies', 'shows', 'use', 'acting', 'childhood', 'their', 'adults']","[""we should not ban the use of child actors because then movies and shows wouldn't have any children in them"", 'we should ban the use of child actors because it causes the child to be in a dangerous environment', 'child actors do not get a proper education and as such, the use of child actors should be banned']"
11,10,104,10_intellectual_property_rights_ideas,"['intellectual', 'property', 'rights', 'ideas', 'abolished', 'abolish', 'innovation', 'ip', 'it', 'idea']","['intellectual property rights limit the information people can use', 'intellectual property rights should be protected, as intellectual property is the same as physical property.', 'we should abolish intellectual property rights because new ideas are often an extension of old ideas and intellectual property rights can therefore inhibit creativity.']"
12,11,102,11_gender_neutral_language_adopt,"['gender', 'neutral', 'language', 'adopt', 'genders', 'offended', 'women', 'we', 'adopting', 'society']","['in order that gender-neutral people feel comfortable and not exluded from society, gender-neutral language should be adopted.', ""we should adopt gender-neutral language because gender-neutral language can improve women's status in society"", 'gender-neutral language is unnecessary.']"
13,12,102,12_organ_organs_trade_legalizing,"['organ', 'organs', 'trade', 'legalizing', 'would', 'legalize', 'sell', 'people', 'selling', 'transplant']","['we should not legalize organ trade because some people would be getting bad organs', 'if organ trade was legal it would be easier for people to get the organs that they need.', 'we should not legalize organ trade because then people would be selling their organs just for money']"
14,13,101,13_tolerance_zero_schools_policy,"['tolerance', 'zero', 'schools', 'policy', 'policies', 'children', 'school', 'students', 'adopt', 'bullying']","['teachers and children should feel safe in schools and a zero-tolerance policy will be beneficial for all.', 'we should adopt a zero-tolerance policy to protect all of our children.', 'We should not adopt a zero-tolerance policy in schools- children need more tolerance in their lives in order to flourish, and creating a zero-tolerance policy will cause harm and suffering.']"
15,14,100,14_austerity_regime_debt_an,"['austerity', 'regime', 'debt', 'an', 'spending', 'country', 'economy', 'regimes', 'adopt', 'reduce']","['an austerity regime would be harmful', 'an austerity regime would be good for the economy', 'an austerity regime would save money for the country.']"
16,15,100,15_sanctions_economic_countries_end,"['sanctions', 'economic', 'countries', 'end', 'china', 'effective', 'country', 'hurt', 'citizens', 'trade']","['we should end the use of economic sanctions because it causes more conflict.', 'economic sanctions help our country.', 'economic sanctions are not effective.']"
17,16,99,16_compensation_executive_executives_company,"['compensation', 'executive', 'executives', 'company', 'employees', 'limit', 'pay', 'compensated', 'limited', 'variable']","['we should not limit executive compensation because it is their company that they started, they have a right to the profits.', 'we should limit executive compensation because this would help support all of the workers in a company.', 'High executive compensation is necessary to get the best executives for your company']"
18,17,98,17_prostitution_legalizing_women_prostitutes,"['prostitution', 'legalizing', 'women', 'prostitutes', 'legalize', 'sex', 'profession', 'legalising', 'safer', 'trafficking']","['we should not legalize prostitution why do we have to do this are there any countries now that  made prostitution legal?', 'legalizing prostitution can many women as well as children vulnerable to the dangerous and immoral legal acceptance of prostitution.', 'legalizing prostitution would allow the government to regulate prostitution and make it safer.']"
19,18,98,18_party_multi_system_parties,"['party', 'multi', 'system', 'parties', 'political', 'systems', 'two', 'more', 'would', 'rti']","['a multi-party system would help create more options for voters.', 'a multi-party system would be too confusing', 'the two-party system is cheaper and easier to operate that any multi-party system']"
20,19,97,19_collectivism_group_individual_oppose,"['collectivism', 'group', 'individual', 'oppose', 'everyone', 'individuals', 'support', 'community', 'because', 'people']","['collectivism brings people together', 'we should support collectivism, as everyone in the group benefits from this practice.', 'we should not oppose collectivism because everyone should work together.']"
21,20,95,20_journalism_news_subsidizing_subsidize,"['journalism', 'news', 'subsidizing', 'subsidize', 'reporting', 'journalists', 'government', 'media', 'journalist', 'subsidization']","['if the government subsidized journalism fake news could be controlled.', 'journalism is important in this country.', 'Subsidizing journalism increases journalist pay, allowing for better journalism.']"
22,21,95,21_prayer_school_pray_religion,"['prayer', 'school', 'pray', 'religion', 'schools', 'prohibit', 'separation', 'state', 'prohibited', 'church']","['prayer should be not done in school, children are in school to learn', 'we should not prohibit school prayer as long as the type of prayer is not religion specific.', 'prayer in school should be prohibited because it violates the separation of prayer and state']"
23,22,89,22_atheism_adopt_religion_believe,"['atheism', 'adopt', 'religion', 'believe', 'wars', 'religious', 'adopted', 'god', 'belief', 'beliefs']","['we should not adopt atheism because everyone should have something to believe in.', 'we should not adopt atheism because everyone has the right to believe in god if they so choose.', 'we should not adopt atheism because it is not a religion']"
24,23,86,23_space_exploration_earth_money,"['space', 'exploration', 'earth', 'money', 'subsidize', 'planet', 'on', 'we', 'our', 'planets']","['space exploration is needed to see how space can affect us here', ""we shouldn't subsidize space exploration because it can be very costly"", 'space exploration should not be subsidized because it is not affordable. there is not enough money available in mostcountries to even support health care and security without space exploration too.']"
25,24,81,24_minors_surgery_cosmetic_allowed,"['minors', 'surgery', 'cosmetic', 'allowed', 'changing', 'for', 'minor', 'enough', 'bodies', 'decision']","['minors should be able to make decisions to have cosmetic surgery if it will help their self-confidence.', 'cosmetic surgery for minors is unnecessary because they are still developing.', 'minors should be allowed to have cosmetic surgery as long as their parents help make the decision. some cosmetic surgery would make a child with a deformity have better self esteem.']"
