Topic,Conclusion,Stance,Count
-1,5G services should be available across India,in favor of,1
-1,5G services should be available across India,against,0
-1,A coordination hub should be set up with representatives of institutions that can act to facilitate the integration of refugees,in favor of,0
-1,A coordination hub should be set up with representatives of institutions that can act to facilitate the integration of refugees,against,0
-1,Aadhaar should be made mandatory in India,in favor of,1
-1,Aadhaar should be made mandatory in India,against,0
-1,All countries should take responsibility for accepting refugees,in favor of,0
-1,All countries should take responsibility for accepting refugees,against,0
-1,"All workers and unemployed should have access to social protection, including young people",in favor of,1
-1,"All workers and unemployed should have access to social protection, including young people",against,0
-1,Alternative medicine should be more accepted,in favor of,1
-1,Alternative medicine should be more accepted,against,0
-1,Artificial intelligence brings more harm than good,in favor of,0
-1,Artificial intelligence brings more harm than good,against,0
-1,Asylum seekers should only be able to file asylum applications from their home or neighboring country.,in favor of,0
-1,Asylum seekers should only be able to file asylum applications from their home or neighboring country.,against,0
-1,Beauty pageants should be banned,in favor of,1
-1,Beauty pageants should be banned,against,0
-1,Betting and gambling should be legalized in India,in favor of,0
-1,Betting and gambling should be legalized in India,against,0
-1,Biogas plants should be assessed on the basis of their efficiency,in favor of,0
-1,Biogas plants should be assessed on the basis of their efficiency,against,0
-1,British people who are residents in an EU country should have EU-wide rights,in favor of,0
-1,British people who are residents in an EU country should have EU-wide rights,against,0
-1,"Businesses should buy unused emissions by reforesting, restoration, or conservation of habitats sequestrating carbon",in favor of,0
-1,"Businesses should buy unused emissions by reforesting, restoration, or conservation of habitats sequestrating carbon",against,0
-1,Catalan should be an official language of the European Parliament,in favor of,0
-1,Catalan should be an official language of the European Parliament,against,0
-1,Censorship of movies is an outdated concept,in favor of,0
-1,Censorship of movies is an outdated concept,against,0
-1,Chinese products should be banned in India,in favor of,0
-1,Chinese products should be banned in India,against,0
-1,Climate neutrality can be achieved only by nuclear energy,in favor of,0
-1,Climate neutrality can be achieved only by nuclear energy,against,0
-1,Cohesion funds should be provided directly to cities and regions,in favor of,0
-1,Cohesion funds should be provided directly to cities and regions,against,0
-1,College education should be free for everyone,in favor of,0
-1,College education should be free for everyone,against,0
-1,Companies should fight moonlighting,in favor of,0
-1,Companies should fight moonlighting,against,0
-1,Companies should pay for the environmental damage cause by their products,in favor of,0
-1,Companies should pay for the environmental damage cause by their products,against,0
