Conclusion,count
We should abolish the three-strikes laws,114
We should abolish capital punishment,113
We should fight for the abolition of nuclear weapons,112
We should legalize prostitution,112
We should stop the development of autonomous cars,111
We should legalize cannabis,110
We should ban cosmetic surgery for minors,109
We should abandon the use of school uniform,108
We should ban the Church of Scientology,107
We should introduce compulsory voting,107
We should end mandatory retirement,105
We should adopt a zero-tolerance policy in schools,104
We should oppose collectivism,104
We should abolish zoos,103
We should cancel pride parades,102
We should adopt atheism,102
We should adopt an austerity regime,101
We should abolish intellectual property rights,101
We should ban telemarketing,101
We should abolish safe spaces,100
We should ban cosmetic surgery,99
We should abolish the right to keep and bear arms,98
We should ban missionary work,98
We should ban fast food,97
We should end the use of economic sanctions,97
We should ban factory farming,96
We should legalize sex selection,96
We should adopt gender-neutral language,96
We should ban whaling,96
We should adopt libertarianism,96
We should ban human cloning,96
We should ban algorithmic trading,95
We should abolish the Olympic Games,95
We should prohibit school prayer,94
We should ban private military companies,94
We should legalize organ trade,94
We should subsidize embryonic stem cell research,94
We should subsidize Wikipedia,94
We should subsidize journalism,93
We should ban the use of child actors,93
We should subsidize student loans,92
We should ban targeted killing,91
We should adopt a multi-party system,91
We should subsidize space exploration,89
We should limit executive compensation,89
We should limit judicial activism,87
There should be no immigration from non-European or non-first-world countries ,18
"We need a common migration and asylum policy, based on respect for rights and equal treatment",18
We do not need immigration from non-European or non-first-world countries. ,14
Immigrants should receive help from the EU through integration programs,13
India should store the data within the territorial boundaries of the country,11
The European Union needs to equip itself with the institutional and legal tools to resolve democratic conflicts on sovereignty within its own borders.,11
Political parties should be brought under RTI (Right to Information) Act,10
We need a single immigration policy.,10
"All workers and unemployed should have access to social protection, including young people",10
We don't need immigration from non-European or non-first-world countries. ,10
There should be a reform of EU trade and investment policy and a relaunch of global multilateralism,9
IT recruiters should consider skills instead of a degree in programming,9
Technology is making us feel less human,9
India should accept Rohingya refugees,9
The EU should integrate the armed forces of its member states,8
We need legal ways of migration.,8
The EU should enforce the obligation to respect the Rule of Law within its borders,8
The president of the European Commission should be elected by the people of the EU,8
The European Union should support and integrate immigrant people to ensure that they live with dignity and equality with all European citizens,8
The EU should immediately end the refugee deal with Turkey.,8
We should strengthen laws to fight against terrorism,8
We should encourage people to take part in Fit India Movement,7
Companies should fight moonlighting,7
Social media is making us less social,7
We need to ensure improvements to the European Union's decision-making processes with increased transparency and accountability,7
Humanitarian organizations should be financially responsible in relation to illegal immigration.,6
We need a better distribution of refugees,6
