,Topic,document,Stance,Conclusion,Argument ID
0,57,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.,in favor of,We should ban human cloning,A01002
1,41,fast food should be banned because it is really bad for your health and is costly.,in favor of,We should ban fast food,A01005
2,15,sometimes economic sanctions are the only thing that will get the corrupt governments to take action,against,We should end the use of economic sanctions,A01006
3,5,capital punishment is sometimes the only option to keep criminals from committing more crimes.,against,We should abolish capital punishment,A01007
4,34,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.",against,We should ban factory farming,A01008
5,3,nuclear weapons help keep the peace in uncertain times,against,We should fight for the abolition of nuclear weapons,A01009
6,21,it should be allowed if the student wants to pray as long as it is not interfering with his classes,against,We should prohibit school prayer,A01010
7,29,three strike laws can cause young people to be put away for life without a chance to straight out their life,in favor of,We should abolish the three-strikes laws,A01011
8,14,adopting austerity regime will have very negative impact on the poor and the vulnerable in society.,against,We should adopt an austerity regime,A01014
9,14,we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up,in favor of,We should adopt an austerity regime,A01015
10,11,"gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.",against,We should adopt gender-neutral language,A01016
11,15,economic sanctions provide a non-military sanction to use against countries.,against,We should end the use of economic sanctions,A01018
12,33,"factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.",in favor of,We should ban factory farming,A01019
13,20,"It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.",in favor of,We should subsidize journalism,A01020
14,25,there are parades for every group and it is discrimination not to give gays their parade,against,We should cancel pride parades,A02003
15,24,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.,in favor of,We should ban cosmetic surgery for minors,A02004
16,17,we should legalize prostitution because it will be regulated meaning the females will be safer,in favor of,We should legalize prostitution,A02005
17,72,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.,in favor of,We should subsidize embryonic stem cell research,A02006
18,28,algorithms may not be 100% accurate and reflect the situation in the real market,in favor of,We should ban algorithmic trading,A02007
19,12,"We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.",in favor of,We should legalize organ trade,A02008
20,8,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.,against,We should legalize cannabis,A02010
21,3,nuclear weapons pose too serious a threat to our world.  we must abolish them now.,in favor of,We should fight for the abolition of nuclear weapons,A02011
22,44,telemarketing doesn't differentiate between people who are interested in being called and those who aren't,in favor of,We should ban telemarketing,A02012
23,21,school prayer cannot account for the array of beliefs or non-beliefs students may hold.,in favor of,We should prohibit school prayer,A02013
24,66,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.,against,We should abolish the right to keep and bear arms,A02014
25,58,they are nothing but a cult and manipulate their members,in favor of,We should ban the Church of Scientology,A02015
26,12,we need more organs than people donate so legalizing it would be a good thing,in favor of,We should legalize organ trade,A02016
27,21,"School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.",in favor of,We should prohibit school prayer,A02019
28,30,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized,against,We should subsidize Wikipedia,A02020
29,37,"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.",in favor of,We should introduce compulsory voting,A03001
30,17,legalizing prostitution will further demean a woman or man and result in unnecessary violence.,against,We should legalize prostitution,A03002
31,58,there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this,in favor of,We should ban the Church of Scientology,A03003
32,81,this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist,against,We should abolish the three-strikes laws,A03004
33,8,cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.,in favor of,We should legalize cannabis,A03006
34,11,we should not have to change our language to accommodate those who do not adhere to a specific gender,against,We should adopt gender-neutral language,A03007
35,76,we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.,in favor of,We should abolish zoos,A03008
36,53,fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.,in favor of,We should ban fast food,A03009
37,-1,it would give people more of a choice  and provides someone for every culture to vote for,in favor of,We should adopt a multi-party system,A03010
38,41,fast food is bad for our health and we really should ban any of it,in favor of,We should ban fast food,A03011
39,1,autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.,in favor of,We should stop the development of autonomous cars,A03012
40,20,"journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.",in favor of,We should subsidize journalism,A03013
41,25,pride parades create a huge disturbance,in favor of,We should cancel pride parades,A03015
42,67,Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision,against,We should abolish the Olympic Games,A03016
43,33,factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.,in favor of,We should ban factory farming,A03017
44,5,capital punishment has been proven ineffective in reducing crime rates.,in favor of,We should abolish capital punishment,A03019
45,66,"we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.",against,We should abolish the right to keep and bear arms,A04001
46,14,"there are more important things to spend public funds on such as health care, housing and education.",against,We should subsidize space exploration,A04002
47,7,School uniforms keep children from being able to express themselves through their clothing choices.,in favor of,We should abandon the use of school uniform,A04003
48,70,human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.,in favor of,We should ban human cloning,A04004
49,25,why should homosexuals have a pride parade?heterosexuals don't have them!,in favor of,We should cancel pride parades,A04006
50,21,allowing children to pray and take some quiet time in school can be beneficial for their mental health.,against,We should prohibit school prayer,A04007
